tissue	method	n_pairs	n_pos	aupr	auroc	perm_p
kidney	pearson_coexpr	214	106	0.5257165017116971	0.5096086652690426	0.2947052947052947
kidney	spearman_coexpr	214	106	0.54880549336667	0.5391334730957372	0.1268731268731268
kidney	distance_correlation	214	106	0.515635681283086	0.5080363382250175	0.3826173826173826
kidney	partial_correlation	214	106	0.5364189730709445	0.5157232704402516	0.1788211788211788
kidney	mutual_information	214	106	0.4859834731046749	0.457416142557652	0.7122877122877123
kidney	clr	214	106	0.5017462735346592	0.4944968553459119	0.5114885114885115
kidney	aracne	214	106	0.5048250917365712	0.4917016072676449	0.3336663336663337
kidney	lasso	214	106	0.5030722304792133	0.5097396925227115	0.3956043956043956
kidney	elasticnet	214	106	0.505509200629109	0.4930992313067784	0.3816183816183816
kidney	grnboost2	214	106	0.4940929336677843	0.4869846261355695	0.6373626373626373
kidney	genie3	214	106	0.4787050817332683	0.4691649196366177	0.7872127872127872
lung	pearson_coexpr	216	107	0.5339182441638296	0.5261082054359941	0.2187812187812187
lung	spearman_coexpr	216	107	0.5302988717039996	0.5251650518734459	0.2487512487512487
lung	distance_correlation	216	107	0.5463668664212311	0.5503729743633714	0.1358641358641358
lung	partial_correlation	216	107	0.6524528825054707	0.6398868215724942	0.0009990009990009
lung	mutual_information	216	107	0.4924952129195455	0.5207922489925405	0.6893106893106893
lung	clr	216	107	0.4918856290319712	0.5106319128869073	0.7082917082917083
lung	aracne	216	107	0.5000865351332641	0.4864957558089685	0.5024975024975025
lung	lasso	216	107	0.5113949824291683	0.5109320072022636	0.2857142857142857
lung	elasticnet	216	107	0.5170735985911393	0.5234502272142673	0.2897102897102897
lung	grnboost2	216	107	0.5451108456474281	0.5573180142330446	0.1308691308691308
lung	genie3	216	107	0.5335903246628251	0.5284232187258853	0.2247752247752247
immune	pearson_coexpr	223	112	0.5736850724452629	0.5402992277992279	0.0509490509490509
immune	spearman_coexpr	223	112	0.5936369370766976	0.5597651222651223	0.0139860139860139
immune	distance_correlation	223	112	0.5646705121854089	0.5320141570141569	0.0769230769230769
immune	partial_correlation	223	112	0.5719178405244041	0.5884813384813384	0.0549450549450549
immune	mutual_information	223	112	0.531561292562018	0.5251769626769627	0.2647352647352647
immune	clr	223	112	0.5434227628914459	0.5477799227799228	0.1428571428571428
immune	aracne	223	112	0.518139080183643	0.509009009009009	0.1458541458541458
immune	lasso	223	112	0.5371066223574631	0.5272683397683398	0.0189810189810189
immune	elasticnet	223	112	0.5521231902164255	0.5374839124839126	0.0119880119880119
immune	grnboost2	223	112	0.5211629448508341	0.4750643500643501	0.3876123876123876
immune	genie3	223	112	0.555586636917581	0.5218790218790219	0.1198801198801198
